               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12509,            0.027493,                   0,           0.0001087,            0.027778,          6.1757e-05,          1.2351e-05,             0.11528,            0.021678,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.11249,            0.024938,                   0,          0.00021739,            0.055556,          0.00012264,          2.4379e-05,              0.1031,            0.019165,                   0,            0.079294,           0.0022943,           0.0022943
                   2,             0.10636,            0.021649,                   0,          0.00028986,            0.074074,          0.00016144,          4.6354e-05,            0.098297,            0.016444,                   0,            0.068483,           0.0034827,           0.0034827
                   3,             0.10199,            0.019355,                   0,           0.0009058,             0.23148,          0.00075163,          0.00016421,             0.09179,            0.014898,                   0,            0.057665,           0.0046651,           0.0046651
                   4,             0.09643,            0.017018,                   0,          0.00086957,             0.22222,          0.00061728,          0.00013885,            0.088239,            0.013339,                   0,            0.046842,           0.0058416,           0.0058416
                   5,            0.094698,            0.017024,                   0,           0.0013043,             0.33333,           0.0010592,          0.00025832,            0.087653,            0.011878,                   0,            0.036012,           0.0070121,           0.0070121
                   6,            0.094824,            0.014863,                   0,           0.0019928,             0.50926,           0.0024781,          0.00065573,              0.1007,           0.0094849,                   0,            0.025177,           0.0081767,           0.0081767
                   7,            0.094716,            0.015059,                   0,           0.0014493,             0.37037,           0.0012833,          0.00030324,            0.090699,            0.010061,                   0,            0.014335,           0.0093354,           0.0093354
                   8,              0.1012,            0.013143,                   0,           0.0012319,             0.31481,           0.0014616,          0.00031288,            0.090189,            0.009229,                   0,            0.009802,            0.009802,            0.009802
                   9,            0.090669,            0.012646,                   0,           0.0017391,             0.44444,           0.0028951,          0.00067322,             0.09169,           0.0088072,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.088119,            0.014566,                   0,           0.0027536,              0.7037,            0.023545,           0.0035271,            0.084394,           0.0091807,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.082903,            0.013211,                   0,           0.0027174,             0.69444,            0.016356,           0.0037488,             0.08257,            0.009038,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.083719,            0.014453,                   0,           0.0032246,             0.82407,            0.063456,            0.015406,            0.083092,            0.008996,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.083916,            0.012384,                   0,           0.0033333,             0.85185,             0.13632,            0.023031,            0.080534,           0.0088851,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.078521,            0.013923,                   0,             0.11632,             0.24074,            0.075781,            0.011255,            0.076885,           0.0090116,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.079025,            0.012912,                   0,           0.0034058,             0.87037,            0.063667,            0.014377,            0.083675,           0.0081978,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.078609,            0.013207,                   0,           0.0037081,             0.94444,             0.19564,            0.039562,            0.073145,           0.0093176,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.075122,            0.013894,                   0,           0.0077138,             0.94444,             0.32983,              0.0814,            0.063261,           0.0097208,                   0,            0.009604,            0.009604,            0.009604
                  18,            0.068603,            0.014017,                   0,             0.58589,             0.37963,             0.40265,             0.13195,            0.068215,           0.0093087,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.070894,            0.013288,                   0,             0.75244,             0.30963,             0.49652,             0.17646,            0.062021,           0.0093176,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,            0.067529,            0.013517,                   0,             0.42616,             0.22007,             0.25786,            0.051449,            0.066439,           0.0088973,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.067915,            0.012237,                   0,             0.52668,             0.28704,             0.36853,             0.07927,            0.065552,           0.0086921,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.061147,            0.012922,                   0,             0.60299,              0.3938,             0.46574,             0.18373,            0.064638,           0.0086702,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,            0.063537,            0.012567,                   0,             0.66007,             0.40741,             0.53656,              0.1275,            0.059539,           0.0088129,                   0,           0.0094555,           0.0094555,           0.0094555
                  24,            0.059888,            0.013323,                   0,             0.63742,             0.42593,             0.52121,             0.17155,            0.061326,           0.0085456,                   0,           0.0094307,           0.0094307,           0.0094307
                  25,            0.063758,            0.011603,                   0,             0.44527,             0.35185,              0.3861,             0.12489,            0.063479,           0.0078346,                   0,            0.009406,            0.009406,            0.009406
                  26,            0.062136,            0.012706,                   0,             0.35027,                 0.5,             0.38328,            0.093153,            0.065138,           0.0075857,                   0,           0.0093813,           0.0093813,           0.0093813
                  27,             0.06947,           0.0099939,                   0,             0.32225,             0.49074,             0.36707,            0.091818,            0.065252,           0.0075579,                   0,           0.0093565,           0.0093565,           0.0093565
                  28,            0.063145,            0.011833,                   0,             0.56094,             0.37963,             0.48634,              0.1259,            0.057515,           0.0081976,                   0,           0.0093317,           0.0093317,           0.0093317
                  29,            0.061273,            0.010956,                   0,              0.6836,             0.58333,             0.67072,             0.19452,            0.053411,           0.0082146,                   0,            0.009307,            0.009307,            0.009307
                  30,            0.054508,            0.013938,                   0,              0.7878,             0.62037,             0.76872,             0.24525,            0.053904,           0.0078842,                   0,           0.0092823,           0.0092823,           0.0092823
                  31,            0.059875,            0.011146,                   0,             0.39647,             0.59002,             0.40287,             0.11554,            0.054773,           0.0078457,                   0,           0.0092575,           0.0092575,           0.0092575
                  32,            0.056713,            0.012174,                   0,              0.4997,             0.67512,             0.58576,             0.23674,            0.054874,           0.0073315,                   0,           0.0092327,           0.0092327,           0.0092327
                  33,            0.059614,            0.011535,                   0,             0.76154,             0.63889,             0.74788,              0.3016,            0.047068,           0.0079506,                   0,            0.009208,            0.009208,            0.009208
                  34,            0.050417,            0.011413,                   0,             0.18841,             0.53704,             0.20729,            0.074843,            0.052212,            0.007412,                   0,           0.0091833,           0.0091833,           0.0091833
                  35,            0.054753,            0.010589,                   0,             0.68463,              0.5463,             0.68647,             0.20221,            0.047816,           0.0073201,                   0,           0.0091585,           0.0091585,           0.0091585
                  36,            0.049946,            0.010451,                   0,             0.22153,             0.66401,             0.22797,            0.081387,            0.055652,           0.0069877,                   0,           0.0091337,           0.0091337,           0.0091337
                  37,            0.055135,            0.010749,                   0,             0.65486,             0.76852,             0.75825,             0.28314,            0.046812,           0.0072586,                   0,            0.009109,            0.009109,            0.009109
                  38,            0.052298,            0.011691,                   0,             0.38703,             0.51852,             0.39661,             0.11737,            0.054689,           0.0068367,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.055914,            0.010621,                   0,             0.85284,             0.80492,             0.89283,             0.30184,            0.043605,           0.0069807,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.047057,            0.010303,                   0,             0.64542,                0.75,             0.71137,             0.29485,            0.048036,           0.0064923,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,             0.05218,            0.010682,                   0,              0.8251,             0.80556,             0.86816,             0.36019,            0.042905,           0.0065838,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.044254,           0.0096928,                   0,             0.77661,             0.78704,             0.86247,             0.33772,             0.04694,           0.0064324,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.051249,            0.009934,                   0,             0.55585,             0.63734,              0.5277,             0.18582,            0.046136,           0.0064011,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.049044,           0.0092249,                   0,             0.77001,             0.77778,             0.79982,               0.295,            0.048703,           0.0062966,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.049864,           0.0083436,                   0,             0.88375,             0.77429,             0.85328,             0.27484,            0.044216,           0.0062071,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.042724,           0.0098841,                   0,             0.47961,             0.78704,             0.47664,             0.19203,            0.047433,           0.0059646,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,             0.04731,           0.0093963,                   0,             0.85998,             0.85185,             0.92058,             0.38728,             0.03956,           0.0060156,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.043319,           0.0098048,                   0,             0.88714,             0.80067,              0.9112,             0.36969,            0.042843,            0.005685,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,             0.04804,           0.0077842,                   0,             0.84781,              0.7963,             0.90365,              0.3685,            0.040606,           0.0057699,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.041815,           0.0093763,                   0,             0.73114,             0.73148,             0.76278,             0.27941,             0.04578,           0.0054315,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.046941,           0.0085857,                   0,             0.94829,             0.87963,             0.95593,             0.48694,            0.038399,           0.0055154,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.042613,           0.0085821,                   0,             0.76817,             0.79772,             0.76976,             0.21462,            0.050069,           0.0052991,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.047219,           0.0078424,                   0,             0.94781,             0.87037,             0.96334,             0.51197,            0.034745,           0.0054428,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.042156,           0.0093586,                   0,             0.90735,             0.86111,             0.93101,             0.39184,            0.043845,           0.0052001,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.046609,           0.0074012,                   0,             0.92865,             0.84355,             0.92338,             0.33268,            0.039929,            0.005276,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.041739,           0.0077454,                   0,             0.85304,             0.80617,             0.83004,             0.25939,            0.045252,            0.005077,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.046698,           0.0089434,                   0,             0.85625,             0.89815,             0.94421,             0.46735,            0.038417,           0.0052032,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.037716,           0.0092654,                   0,             0.87266,             0.82492,             0.91254,             0.38935,            0.044194,           0.0049742,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.050636,            0.007797,                   0,             0.95539,             0.89815,             0.97865,             0.36698,            0.041527,           0.0049181,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.039524,           0.0073546,                   0,             0.90047,             0.77778,             0.90837,             0.29798,            0.043451,           0.0049043,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,            0.042972,           0.0074858,                   0,             0.89369,              0.8562,             0.94167,             0.50147,            0.035444,           0.0050151,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.037883,           0.0075081,                   0,             0.86429,             0.88889,             0.94062,             0.39623,            0.040873,           0.0048609,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,             0.04328,           0.0072483,                   0,              0.9097,             0.83952,             0.94789,             0.49753,            0.034421,           0.0049599,                   0,           0.0084655,           0.0084655,           0.0084655
